iter	Passed	Remaining
0	2071	205068
1	3888	190521
2	5752	185989
3	7499	179989
4	9395	178514
5	11287	176831
6	13133	174488
7	14769	169854
8	16593	167779
9	18440	165964
10	20298	164229
11	21972	161129
12	23571	157744
13	25427	156198
14	27302	154711
15	29133	152949
16	30967	151196
17	32616	148588
18	34272	146110
19	36109	144437
20	37934	142705
21	39802	141117
22	41606	139290
23	43440	137560
24	45169	135507
25	47017	133818
26	48835	132037
27	50625	130179
28	52489	128509
29	54308	126720
30	55941	124515
31	57722	122661
32	59354	120508
33	61158	118720
34	62787	116605
35	64647	114928
36	66255	112813
37	67910	110801
38	69687	108998
39	71581	107372
40	73572	105872
41	75687	104521
42	77731	103039
43	79684	101416
44	81646	99789
45	83726	98287
46	85891	96856
47	87759	95072
48	89597	93254
49	91448	91448
50	93318	89658
51	95176	87855
52	97067	86078
53	98933	84276
54	100765	82444
55	102519	80550
56	104239	78637
57	106146	76865
58	108105	75124
59	110149	73432
60	112050	71638
61	113932	69829
62	115891	68063
63	117634	66169
64	119565	64381
65	121491	62586
66	123383	60770
67	125248	58940
68	127005	57060
69	128873	55231
70	130763	53410
71	132734	51618
72	134474	49737
73	136366	47912
74	138213	46071
75	139966	44199
76	141834	42366
77	143679	40525
78	145525	38683
79	147311	36827
80	149147	34985
81	150961	33137
82	152754	31287
83	154369	29403
84	156166	27558
85	157949	25712
86	159783	23875
87	161631	22040
88	163441	20200
89	165281	18364
90	167076	16524
91	168757	14674
92	170503	12833
93	172162	10989
94	173923	9153
95	175721	7321
96	177550	5491
97	179386	3660
98	181183	1830
99	182963	0
